Row ID,Order ID,Order Date,Contact Name,Country,City,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,License,Sales,Quantity,Discount,Profit,Day Of Week,Fiscal Year,Fiscal Quarter,Cost
1,EMEA-2020-152156,11/9/2020,Jane Doe,Ireland,Dublin,EMEA,UKIR,AnyCompany 23,1017,Energy,SMB,Marketing Suite,16GRM07R1K,261.96,2,0,41.9136,Monday,FY2021,FQ1,220.0464
2,EMEA-2020-152156,11/9/2020,Jane Doe,Ireland,Dublin,EMEA,UKIR,AnyCompany 23,1017,Energy,SMB,FinanceHub,QLIW57KZUV,731.94,3,0,219.582,Monday,FY2021,FQ1,512.358
3,AMER-2020-138688,6/13/2020,Márcia Oliveira,United States,New York City,AMER,NAMER,ExampleCorp 29,1056,Energy,Strategic,FinanceHub,JI6BVL70HQ,14.62,2,0,6.8714,Saturday,FY2020,FQ3,7.7486
4,EMEA-2019-108966,10/11/2019,Kwesi Manu,Germany,Stuttgart,EMEA,EU-WEST,ExampleCorp 32,1031,Energy,SMB,ContactMatcher,DE9GJKGD44,957.5775,5,0.45,-383.031,Friday,FY2020,FQ1,1340.6085
5,EMEA-2019-108966,10/11/2019,Kwesi Manu,Germany,Stuttgart,EMEA,EU-WEST,ExampleCorp 32,1031,Energy,SMB,Marketing Suite - Gold,OIF7NY23WD,22.368,2,0.2,2.5164,Friday,FY2020,FQ1,19.8516
6,AMER-2018-115812,6/9/2018,Efua Owusu,United States,New York City,AMER,NAMER,AnyCompany 19,1065,Finance,SMB,SaaS Connector Pack,8RM88WFOAE,48.86,7,0,14.1694,Saturday,FY2018,FQ3,34.6906
7,AMER-2018-115812,6/9/2018,Efua Owusu,United States,New York City,AMER,NAMER,AnyCompany 19,1065,Finance,SMB,ChatBot Plugin,4SYTVM0746,7.28,4,0,1.9656,Saturday,FY2018,FQ3,5.3144
8,AMER-2018-115812,6/9/2018,Efua Owusu,United States,New York City,AMER,NAMER,AnyCompany 19,1065,Finance,SMB,Site Analytics,07842ES7DY,907.152,6,0.2,90.7152,Saturday,FY2018,FQ3,816.4368
9,AMER-2018-115812,6/9/2018,Efua Owusu,United States,New York City,AMER,NAMER,AnyCompany 19,1065,Finance,SMB,ContactMatcher,XPBOBXWXA3,18.504,3,0.2,5.7825,Saturday,FY2018,FQ3,12.7215
10,AMER-2018-115812,6/9/2018,Efua Owusu,United States,New York City,AMER,NAMER,AnyCompany 19,1065,Finance,SMB,OneView,71J8P9Z1P0,114.9,5,0,34.47,Saturday,FY2018,FQ3,80.43
